author,author_cat
Nicholas Fandos and Mike Isaac,6749
Thunderbird,8975
Manil Suri,5849
Richard Marcil,7753
Nos Nevets,6914
Sean Brown,8335
Ben Hubbard and Somini Sengupta,1182
Rollo Romig,7940
Gideon Lewis-Kraus,3191
KRM,4935
Comrade Torcer,1852
Dionne Searcey and Ashley Gilbertson,2426
"Manohla Dargis, A. O. Scott and Stephen Holden",5859
Alex Hawgood,412
"Eric Schmitt, Michael R. Gordon and Somini Sengupta",2835
Jeremy W. Peters and Maggie Haberman,4294
Rod Nordland and Safak Timur,7932
Elisabeth Rosenthal,2697
Anonymous Coward (UID 1786283),859
Simon Romero and Michael S. Schmidt,8509
Michael Barbaro and Jonathan Mahler,6230
David M. Herszenhorn and Emmarie Huetteman,2294
Susanne Craig,8741
Michael M. Grynbaum and John Herrman,6326
Julie Creswell and Mary Williams Walsh,4795
Adelle Nazarian &amp Edwin Mora,317
"Julfikar Ali Manik, Geeta Anand and Ellen Barry",4732
I Dreamed About A Dead Writer (An Author Highlight) | Duckie's Book Nook,3580
Dina Kraft,2423
Ben Crair,1153
Daniel Victor and Jeffrey Gettleman,2168
Russ Buettner,8002
10 Nutritious Foods That Help Reduce Asthma Attacks &amp; Boost Your Health - Health Alternative Solutions,5
Michael Shnayerson,6409
Ronda Kaysen,7956
Patrick Healy and Ashley Parker,7113
Mark Landler and Nicholas Fandos,5933
Alex Burns and Matt Flegenheimer,404
Alberto González Vázquez,396
Michael Barbaro and Megan Twohey,6231
Brig Asif H. Raja,1380
Mark Scott and James Kanter,5958
Judith H. Dobrzynski,4724
Lee Rogers,5404
Campbell Robertson and Alan Blinder,1550
Katrin Bennhold and Stephen Castle,5077
Anonymous Coward (UID 47402853),864
Jordan Stringfellow,4677
Anne Barnard and Rick Gladstone,822
Julie Creswell and Rachel Abrams,4796
Steve Knopper,8648
Ashley Parker and Amy Chozick,975
Lindsay Hayward,5484
Laura M. Holson and Rachel Abrams,5360
THE SCIENCE IS “OVERWHELMING AT THIS POINT” WIFI INDUSTRY APPEALS BRAIN TUMOR ASSOCIATION ORDINANC - WAKING SCIENCE,8801
Anonymous Coward (UID 73226313),887
Campbell Robertson and Mitch Smith,1552
RickM,7806
David Gelles and Sapna Maheshwari,2246
Steve Eder and Jennifer Medina,8641
PrairieShepherd,7445
Karen Workman and Andrew Hinderaker,4968
Anonymous Coward (UID 73271172),899
Alexander Mercouris,453
Trevor Loudon,9141
Don,2503
Pui-Wing Tam,7465
Saurav Dutt,8296
PiltdownMan,7408
"Michael Barbaro, Maggie Haberman and Yamiche Alcindor",6242
Gabrielle Cintorino,3073
Salman Masood and Ismail Khan,8182
Melissa Eddy and Alison Smale,6197
flora,9561
Police State,7435
Andrea Kannapell and Hiroko Masuike,657
Linda S. Heard,5482
William Dunkerley,9396
Patricia Cohen and Conor Dougherty,7073
Tamara Wojewodina,8848
Subvet,8722
Sam Borden and Andrew Das,8186
Joseph Giovannini,4684
Marc Santora and Al Baker,5867
Al Baker and James C. McKinley Jr.,337
Jonathan Mahler and Maggie Haberman,4625
Ricky Twisdale,7807
"Michael D. Shear, Mark Landler, Matt Apuzzo and Eric Lichtblau",6293
"Lizette Alvarez, Jess Bidgood, Mitch Smith and Sabrina Tavernise",5532
Clay Risen,1828
Michael Steinberger,6413
Michael D. Shear and Nick Cumming-Bruce,6275
Phil Butler,7370
Sam Wenkert,8212
Christopher Manion,1796
Bob Powell,1305
Adam Nagourney and Erik Eckholm,295
Shalabh “Shalli” Kumar,8398
para para dinle,9678
"Mekado Murphy, Alexandra Eaton, Jonah M. Kessel and Will Lloyd",6186
John Markoff,4533
"Michael M. Grynbaum, Emily Steel and Sydney Ember",6331
"Richard Fausset, Richard Pérez-Peña and Campbell Robertson",7735
"Jennifer Steinhauer, John Schwartz, Emmarie Huetteman and Thomas Kaplan",4271
Stephen Castle and Pauline Bock,8618
Arielle Dollinger and Rick Rojas,950
11 Things To Let Go Of Before The New Year,8
Nick Corasaniti and Matt Flegenheimer,6793
"Matt Flegenheimer, Charlie Savage and Adam Liptak",6093
DEPLORABLEkarmafordems,1976
BlackProject,1292
Joel W,4469
George Vecsey,3158
Lela Moore and Lindsey Underwood,5411
Katie,5056
Michael Gold,6304
Charles Burris,1652
Ralph H Moran,7613
Hari Kumar and Nida Najar,3413
blowfish,9514
"Peter Baker, Neil MacFarquhar and Michael R. Gordon",7310
Tru Foods Nutrition,9148
Jeremy Cronon,4285
Tom Robbins,9111
ghostrager,9570
"Jeré Longman, Doug Mills and Chang W. Lee",4323
Truthstream Media,9156
Amy Chozick and Manny Fernandez,598
Barry Meier and Susanne Craig,1128
LinTaylor ✓vitrified,5474
Lakshmima,5317
Joe Wolverton,4464
FPIF,2931
Kj Dell’Antonia,5229
Rafiq Ebrahim,7589
Lawrence Wittner,5399
Robert Faturechi | Propublica,7856
Lawrence Davidson,5394
Craig S. Smith and Dan Levin,1887
Bill Cunningham,1274
Henrik Pryser Libell and Melissa Eddy,3512
Chris Zinda,1758
Rixon Stewart,7812
Caitlin Kelly,1536
Amber Carlin Mishkin,578
Steve Kenny,8647
Nick Corasaniti and Michael D. Shear,6794
Graham Bowley and Sydney Ember,3265
Tim O'neil,9006
Andrew Das,668
Anonymous Coward (UID 68881719),874
Anthony Doerr,911
Campbell Robertson and Michael D. Shear,1551
Christine Muhlke,1777
TrueBrit,9151
Michael Scheuer,6401
Koyote,5237
Mandy Wong,5848
allan,9493
Uri Avnery,9178
"Alissa J. Rubin, Adam Nossiter and Christopher Mele",528
Jane Perlez and Matthew Rosenberg,4163
Maya Salam and Daniel Victor,6169
Rachel Abrams and Annalyn Kurtz,7563
Omar Rivero,6967
Steve Eder and Kitty Bennett,8642
Phil Barber,7369
Emily Robbins,2746
"Nick Corasaniti, Alexander Burns and Binyamin Appelbaum",6795
Ben Protess and Julie Hirschfeld Davis,1207
Ayesha Venkataraman,1006
Nicole Perlroth and David E. Sanger,6860
Mark W,5971
Jason Fried,4193
Cathy Breen,1626
Frank Bruni,3006
Stacy Vassman,8566
"Julie Bloom, Richard Fausset and Mike McPhate",4791
Michael J. de la Merced and Vindu Goel,6318
Walt Bogdanich,9345
JinMI,4415
Peter Baker and Ian Fisher,7295
"Scott Shane, Richard Pérez-Peña and Aurelien Breeden",8331
Jack Ewing and Melissa Eddy,3947
George Gurley,3154
Pandadude12345,7053
James Zumwalt,4075
Derrick Broze,2408
Jaclyn Peiser,3973
Matt Apuzzo and James Risen,6068
Matthew Rosenberg and Matt Apuzzo,6136
Michael D. Shear and Christopher Drew,6261
Raisi Smith,7594
Jeffrey Gettleman and Hussein Mohamed,4237
Brandon Smith,1328
Josh Katz and Kevin Quealy,4702
"Marc Santora, William K. Rashbaum, Al Baker and Adam Goldman",5872
Michael D. Shear and David E. Sanger,6262
Kashai,4991
Deplorable Miss Pinkus,2405
Jimbeau,4411
Adam Goldman and Matt Apuzzo,280
John Eligon and Nikole Hannah-Jones,4498
Joseph P. Fried,4692
"Kim Barker, Pir Zubair Shah, Joseph Goldstein and Jessica Silver-Greenberg",5198
Bryan Miller,1414
Penn Bullock and Sandra Stevenson,7281
Boriqua ConHambrre,1320
Paola Singer,7055
adobochron,9489
Melissa Eddy and James Kanter,6199
Amy Chozick and Jonathan Martin,595
Lela Moore and Michael Gold,5412
Peter DeMarco,7321
Gavin McInnes,3122
Thomas Madison,8970
Taylor Budowich,8875
"Hiroko Tabuchi, Jack Ewing and Matt Apuzzo",3551
Nicholas Casey and Clifford Krauss,6729
Matthew Haag and Niraj Chokshi,6128
1A. The History and Future of Sleep:,14
George Ciccariello-Maher,3151
Clair MacDougall,1817
Daniel M. Gold,2122
Clyde Haberman,1839
Danielle Ryan,2178
Sinead,8517
Dave Reilly,2203
Patrick Healy and Alan Rappeport,7110
Nicholas Fandos and Eric Lipton,6747
"William K. Rashbaum, J. David Goodman and William Neuman",9408
Farah Nayeri,2943
Jimmy Rustling,4412
Valerie June,9203
Greg Howard,3295
Zahra Nader and Mujib Mashal,9467
Alex VanNess,432
Ibcamn,3640
joworth,9614
BS1986,1077
Bashar al-Assad,1133
Edward Wong and Jeffrey Gettleman,2660
Andrea Kannapell and Zach Montague,661
Liu Cixin,5513
Kenneth Surin,5122
Abby Goodnough and Scott Atkinson,243
voteforno6,9764
Maureen Dowd,6158
Anonymous Coward (UID 73271104),898
Nicholas Confessore and Amy Chozick,6736
lyle,9633
Julie Turkewitz and Caitlin Dickerson,4825
Julian Vigo,4788
Ken Kurson,5114
Alanna Ketler,387
Michael M. Grynbaum and Rachel Abrams,6328
Katherine,5049
Omar Al-Jawoshy,6963
"Óscar Martínez, Efren Lemus, Carlos Martínez and Deborah Sontag",9782
Zia ur-Rehman and Salman Masood,9474
Richard Fausset and Jonah Engel Bromwich,7725
Ian Buruma,3615
Arawma - Dulciuri Raw Vegane,941
doucyet,9550
RhooLyn,7686
AUTUMN,185
Richard J. Light,7738
tz1,9756
Michael M. Grynbaum and Emily Steel,6324
Patrick G. Eddington,7092
Naila-Jean Meyers and Ben Rothenberg,6639
William Blum,9392
Matthew Vadum,6148
"Katrin Bennhold, Kimiko de Freytas-Tamura and Dan Bilefsky",5078
Molly Young,6521
Sen. Ted Cruz (R-TX),8369
"Jeremy W. Peters, Yamiche Alcindor and Noah Weiland",4298
Jack Hitt,3960
Rogene Jacquette,7935
Julie Hirschfeld Davis and Matt Flegenheimer,4810
Emily Steel and Michael Cieply,2751
Larry,5332
Robert Arce,7834
Isabel Kershner and Sheryl Gay Stolberg,3701
Ana,643
"Mike Isaac, Katie Benner and Michael J. de la Merced",6468
Clifford Krauss and Diane Cardwell,1833
Nicholas Confessore and Matt Flegenheimer,6738
"Walt Bogdanich, Jacqueline Williams and Ana Graciela Méndez",9346
Christina Anderson and Sewell Chan,1766
Андрей Иванов,9786
"Michael D. Shear, Maggie Haberman and Michael S. Schmidt",6292
"Julfikar Ali Manik, Geeta Anand and Russell Goldman",4733
Patrick McGeehan and Marc Santora,7134
Bachar Ja’afari,1079
"Nicholas Kulish, Caitlin Dickerson and Charlie Savage",6753
Sam Anderson,8184
Mike Rubin,6477
"RIA Novosti, Pavel Gaikov",7501
Michael D. Shear and Eric Lichtblau,6264
Peter Baker and Mark Landler,7299
James Hill and Andrew E. Kramer,4046
Eamonn Fingleton,2613
Ryan Burleson,8021
Stacy Cowley and Andrew Hinderaker,8562
Jack Smith,3969
Eva Sohlman and Neil MacFarquhar,2871
J M Landers,3723
Pam Belluck and Tania Franco,7040
Gina Kolata and Jan Hoffman,3212
B. J. Sabri,1014
Sabrina Tavernise and Robert Gebeloff,8148
Dave Caldwell,2196
George Washington,3159
mobiusmale,9655
Anna North,810
"Michael D. Shear, Ron Nixon, Charlie Savage and Maggie Haberman",6296
Shuaib Almosawa and Rod Nordland,8442
"John Eligon, Alan Blinder and Nida Najar",4502
Rakesh Krishnan Simha,7610
Rebecca Mansour,7641
"Jeremy W. Peters, Alexandra Alter and Michael M. Grynbaum",4296
Anonymous Coward (UID 73269813),892
Julie Creswell,4794
"Marc Santora, Mike McPhate and Ashley Southall",5869
Kimberly Bradley,5208
Eric Lipton and Scott Shane,2818
Susanne Craig and Eric Lipton,8742
Fin Robertson,2963
Lizette Alvarez and Richard Pérez-Peña,5530
Nicholas Kulish,6752
Vindu Goel and Nicole Perlroth,9282
Michael M. Grynbaum and Sydney Ember,6330
Jon Caramanica and Nate Chinen,4570
George Blecher,3150
Anonymous Coward (UID 118243),856
Tyler J. Kelley,9165
Rick Gladstone and Somini Sengupta,7795
Marc Tracy and Pat Borzi,5876
Robert H. Frank,7863
Stanley Reed,8590
Adam Zagoria,312
Tyler Cole,9160
Audrey S. Lee,993
Michael D. Shear and Yamiche Alcindor,6282
Allen Daves,534
Kate Bennett,4995
Philip Fernbach and Steven Sloman,7375
Free the TrumpRolled!,3025
Tim Arango and Helene Cooper,8981
The Prophet (UID 58565188),8925
Gerry Mullany,3181
Michael D. Shear and Liam Stack,6269
Binyamin Appelbaum and Michael D. Shear,1289
David E. Sanger and Eric Schmitt,2227
Lauren Indvik,5386
neoholographic,9660
Leo Hohmann,5417
Reed Abelson and Katie Thomas,7662
Julie Creswell and Sapna Maheshwari,4797
Alastair Macaulay,393
Richard Pérez-Peña and Sheryl Gay Stolberg,7776
Goofy for God,3240
Alan Fox,359
Amisha Padnani,587
David W. Dunlap and Todd Heisler,2346
"Robert Pear, Thomas Kaplan and Maggie Haberman",7905
Julie Hirschfeld Davis and Jada F. Smith,4806
August Moliere,994
Conover Kennard,1858
"David E. Sanger, Maggie Haberman and Clifford Krauss",2240
Jacey Fortin and Josh Kron,3938
Anonymous Coward (UID 73237446),888
"Victor Mather, Marc Tracy and Zach Schonbrun",9251
CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice &amp; Injury Lawyer Blog,1470
Isaac Oliver,3694
Amanda Ripley,572
Julia Shevelkina,4754
Ralph R. Reiland,7616
Hanna Ingber,3390
Anonymous Coward (UID 70076674),878
Matt Flegenheimer and Jonathan Martin,6085
Rick Baum,7791
Damien Cave and Darcy Eveleigh,2013
Deborah Levy,2367
Randall Smith,7621
Claudia Dreifus,1826
Bonnie Wertheim,1318
Henry Fountain and Michael S. Schmidt,3517
"Matt Flegenheimer, Rachel Abrams, Barry Meier and Hiroko Tabuchi",6094
Dhruv Khullar,2411
AssHat900,987
Elisabetta Povoledo and Liam Stack,2701
David Allen,2215
TheToolMan,8936
3 Easy Salad Recipes To Help Control Diabetes – Collective Evolution | intopurification,17
Gardiner Harris and Mark Landler,3092
William Adams,9391
Michelle ✓classified,6439
Ilana Mercer,3649
Elizabeth Maddock Dillon,2706
Alex Jones,421
Sam Manchester and Victor Mather,8207
Jeremy B. Merrill,4283
thatonedad,9741
Sheri Fink and James Risen,8428
Caleb Stephen,1543
Amy Chozick and Matt Flegenheimer,600
Robert Pear and Reed Abelson,7902
Alan Rappeport and Alexander Burns,362
Reif Larsen,7668
"Abby Goodnough, Robert Pear and Thomas Kaplan",244
Corey Kilgannon and Nate Schweber,1873
Bev Conover,1268
Jed Smith,4226
Jennifer Percy,4252
Dennis J. Kucinich,2396
grayeagle,9572
Jennifer Steinhauer and Matthew Rosenberg,4265
Natasha Singer,6655
Remy Tumin and Lisa Iaboni,7673
Mark Landler and Richard Pérez-Peña,5936
Cavrecon22,1632
Ana Vanessa Herrero and Elisabeth Malkin,645
Jennifer Steinhauer and Eric Lichtblau,4263
adobochronicles.com - Real or Satire?,9490
Daniel Victor and Liam Stack,2169
Collective Evolution,1847
Hiroko Tabuchi and Clifford Krauss,3546
Alfred S. Regnery,482
"Peter Baker, Glenn Thrush and Maggie Haberman",7307
"Jonathan Martin, Chris Buckley, Amy Chozick and Maggie Haberman",4641
Michael Schwirtz,6403
Daniel Lewis,2121
Sylvie Bigar,8771
Sadie Stein,8161
Stevemagegod,8658
Dolores Vek,2438
Christopher Farrell,1787
Erik Eckholm and Alan Blinder,2845
Maggie Haberman and Charlie Savage,5816
Edward Hunt,2658
Tim Herrera and Michelle L. Dozois,8996
Brutus Centinel,1399
"Christine Hauser, Niraj Chokshi and Daniel Victor",1776
"Patrick Healy, Jonathan Martin and Maggie Haberman",7121
Timothy Williams and Manny Fernandez,9026
Katie Rogers and Elisabetta Povoledo,5067
:ohemad: (UID 73271507),24
"Amy Chozick, Patrick Healy and Yamiche Alcindor",610
Robert Battle,7837
2012newstart,15
Louise Story,5572
jeery park,9603
"Michael S. Schmidt, Nick Corasaniti and Matt Flegenheimer",6374
Alan Feuer and Kristin Hussey,356
"Dan Bilefsky, Kimiko de Freytas-Tamura, Hannah Olivennes and Ceylan Yeginsu",2038
Ken Blackwell,5109
obama still has martial law,9671
Mujib Mashal and Jawad Sukhanyar,6548
Stanley L. Cohen,8589
Dan Roodt,2054
Peter Baker and Julie Hirschfeld Davis,7297
Omar Al-Jawoshy and Tim Arango,6966
"Your mind, body &amp; emotions | Spiritual Response Therapy | Loving solutions with SRT system",9447
Andrew Reiner,695
red alert (UID 72987209),9696
Kai Schultz,4942
Joseph Edward Bodden,4682
Benny Johnson,1254
J. David Goodman and Emma G. Fitzsimmons,3732
Stephen Cooper,8622
Mark Landler and Ashley Parker,5925
Leslie Picker and Reed Abelson,5435
Jess Bidgood and Sheryl Gay Stolberg,4327
muchmadness,9658
elliptic curve,9557
Vladimir Poutine,9310
Jazmine Hughes,4219
Gary Z McGee,3117
LunaFlora,5618
Bradlee Dean,1325
Diane Cardwell and Clifford Krauss,2415
Brian Cloughley,1363
Bruce Baker,1395
Walter Brasch,9347
Luz Marina Fornieles Sánchez,5619
Stacy Cowley and Jennifer A. Kingson,8564
Peter Keepnews,7329
Phelim McAleer,7368
David Gelles and Mike Isaac,2245
Julie Hirschfeld Davis and David E. Sanger,4802
Henry Fountain and John Schwartz,3516
thilliker2,9749
Michael J. de la Merced and Katie Benner,6313
thesungod,9748
Jason Parham,4201
Boryana Dzhambazova,1322
Michaelangelo Matos,6431
Daniel Lazare,2118
"John Koblin, Emily Steel and Jim Rutenberg",4527
"Kate Zernike, Abby Goodnough and Pam Belluck",5030
"Alexeï Fenenko, pour RBTH",473
chrisf,9532
"Scott Shane, Julia Preston and Adam Goldman",8326
Celine,1639
Richard Pérez-Peña and Laurie Goodstein,7773
OpenThePodBayDoorsHAL,6971
"Jennifer Steinhauer, Jonathan Martin and David M. Herszenhorn",4272
rt.com,9706
Margaret Morford,5888
Richard Rubin,7782
"Victoria Burnett, Randal C. Archibold and Frances Robles",9256
Jonah Bennett,4595
Kristopher,5245
Richard Pérez-Peña and Mitch Smith,7774
customize your own jerseys,9540
Alain de Botton,339
Michael Forsythe and Jonathan Ansfield,6303
Vindu Goel and Michael J. de la Merced,9281
Eric Lichtblau and Adam Goldman,2793
Thaddeus Russell,8895
Bee Shapiro,1142
Aleksandar Dimishkovski,397
Alex Lantier,422
Gardiner Harris and Emmarie Huetteman,3091
Dennis Overbye and Sewell Chan,2399
That Fart You Cupped &amp; Smelled,8898
"Alan Rappeport, Michael D. Shear and Carl Hulse",374
PraetorianAZ,7444
Mark Crispin Miller,5914
lostbook,9630
susannapanevin,9735
تييري ميسان,9799
Chris Hedges,1738
Jon Fleischman,4572
Christine Hauser and Jonah Engel Bromwich,1775
breitbart.com,9520
Andre Damon,651
Patrick Kingsley and Anne Barnard,7129
Annie Lowrey,847
Wendell Jamieson,9363
"Richard Pérez-Peña, Mitch Smith and Stephanie Saul",7780
Peter Baker and Sewell Chan,7304
Christine Hauser and Alan Blinder,1773
Leonor G Arango,5419
Axel Tillmann,1004
David E. Sanger and Scott Shane,2234
Dana Canedy and Darcy Eveleigh,2079
Mark Mazzetti and Michael S. Schmidt,5947
"Ilaria Kantorova, Pavel Inzhelevsky, Igor Davidov",3650
Emily Hardman,2738
Dinah Eng,2424
Patrick O'Donnell,7136
Physicists Say Consciousness Should Be Considered A State of Matter: The “Non Physical” Is Real – Collective Evolution,7407
Geoff Macdonald,3146
Samantha Schmidt and Alan Feuer,8221
Jonjonj,4670
Christopher Mele and Sandra E. Garcia,1807
Shaila Dewan and Timothy Williams,8397
ssenerawa,9727
Julie Hirschfeld Davis and Michael D. Shear,4812
Tom Shone,9112
Lynn Vavreck,5625
Anonymous Coward (UID 69608020),876
"Eric Lipton, Noah Weiland and Steve Eder",2826
"10 More Beautiful Images That Remind You We Still Live In A Beautiful World, With Beautiful People - Upside Down Media",3
"Charlie Savage, Eric Schmitt and Mark Mazzetti",1680
Michael D. Shear and Thomas Kaplan,6280
IAMTAT,3582
Caryn Ganz,1607
Amy Chozick and Thomas Kaplan,607
Gardiner Harris and Charlie Savage,3088
Heather Fletcher and Richard Pérez-Peña,3445
"Michael R. Gordon, Nick Cumming-Bruce and Somini Sengupta",6357
lynnmccrann,9635
Donna De La Cruz,2512
Thomas Erdbrink and Clifford Krauss,8954
Sarah Varney,8288
"Alexander Burns, Michael D. Shear and Ashley Parker",450
Financial Times,2964
"Victor Mather, Karen Crouse and Doug Mills",9250
Fred Tyrell,3023
"Why Not News 15 Plants &amp; Herbs That Can Boost Lung Health, Heal Respiratory Infections &amp; Repair Pulmonary Damage - Why Not News",9380
welcometoskaamoog,9767
Vincent M. Mallozzi,9276
Mitch Smith and Alan Blinder,6504
The angel of light,8932
"Eli Rosenberg, Jennifer Medina and John Eligon",2690
Peter Baker and Charlie Savage,7292
Sami Jamil Jadallah,8222
Scot Vorse,8306
Gabrielle Ray,3078
Ivan Jose,3716
donaldbreaux,9549
"Alexander Burns, Maggie Haberman and Ashley Parker",447
"Nick Madigan, Benjamin Mueller and Sheryl Gay Stolberg",6812
morris,9657
"Jonah Engel Bromwich, Daniel Victor and Mike Isaac",4602
Mitch Moxley,6502
"Matthew Rosenberg, Maggie Haberman and Adam Goldman",6139
Hal Apeeno,3386
Michael D. Shear and James Glanz,6266
Eli Rosenberg and Warren Strugatch,2689
Patrick Healy and Dalia Sussman,7114
Jess Bidgood and Alan Blinder,4325
Paul Mozur and Mark Scott,7226
Jen Chaney,4242
Maximus Decimus Meridius,6168
nickreality65,9665
Chris Floyd,1735
murphy.a,9659
Mary,6045
"Monica Davey, Julie Bosman and Steve Eder",6531
Eric Lipton and Monica Davey,2814
Michael Barbaro and Noah Remnick,6234
"Brian X. Chen, Farhad Manjoo and Vindu Goel",1377
Jack Healy and Timothy Williams,3958
Monica Castillo,6525
Mike Isaac and Sydney Ember,6467
Liz Lee,5518
Peter Kujawinski,7332
Rik Storr,7809
Louis Stuart,5569
"Alexander Burns, Matt Flegenheimer and Jonathan Martin",449
Richard Pérez-Peña and Ian Austen,7770
Wahid Azal,9337
Rod Nordland and Nour Youssef,7931
Stacy Cowley and David Scull,8563
William Lutz,9410
bryan2006,9522
Tanya Mohn,8865
Catrin Einhorn and Jodi Kantor,1630
Soniah Kamal,8538
Jim White,4404
Dave Alpert,2194
Unicorn Riot,9177
Eli Rosenberg and Evan Gershkovich,2685
Michael Barbaro and Steve Eder,6236
"Rebecca R. Ruiz, Juliet Macur and Ian Austen",7646
Eric Lipton and Benjamin Weiser,2804
Yamiche Alcindor and Amy Chozick,9434
Paul Mozur and Su-Hyun Lee,7227
Luke Yi,5616
"Dan Barry, Serge F. Kovaleski, Alan Blinder and Mujib Mashal",2033
Matthew Rosenberg and Charlie Savage,6133
Todd Heisler,9066
Michael D. Shear and Nick Corasaniti,6274
Jay Caspian Kang,4214
A Jew (UID 73270427),25
"N. R. Kleinfield, Richard A. Oppel Jr. and Melissa Eddy",6559
Melissa Eddy and Gardiner Harris,6198
Campbell Robertson and Richard Fausset,1553
Jan Oberg,4152
Rebecca R. Ruiz and Ivan Nechepurenko,7644
Damir Marinovich,2026
Knut Lindtner,5230
Paul Elie,7187
dominic_mcg,9548
Alexander Burns and Ashley Parker,437
Damien Cave and Hannah Berkeley Cohen,2014
Matthew Rosenberg and Maggie Haberman,6135
“Shoot First Ask Questions Later” : What Happens To A UFO When Tracked on Military Radar – Mystical Shire,9804
"Alan Rappeport, Eric Lichtblau, Maggie Haberman and Adam Liptak",371
Emmarie Huetteman and Yamiche Alcindor,2775
A. F. Branco,27
Julfikar Ali Manik and Nida Najar,4731
Jacques de Seingalt,4008
Michael Greger,6305
The Hill,8913
Robert Owings,7896
Simon Winchester,8515
Eat Your Way to Balanced Hormones! - NeilMD.com,2615
"Richard Fausset, Frances Robles and John Eligon",7733
"Mitch Smith, Christina Capecchi and Matt Furber",6512
Naomi Klein,6644
Michael J. de la Merced and Landon Thomas Jr.,6314
James Staten,4069
Richard Pérez-Peña and Rachel Abrams,7775
Anita Gates,791
Nicholas Confessore and Maggie Haberman,6737
Leslie Jamison,5430
Kelly Whiteside,5101
freeinaz,9562
Ruth Graham,8009
Alan Blinder and Niraj Chokshi,345
"James Poniewozik, Mike Hale and Neil Genzlinger",4061
"Listen""-)Deplorable Infidel Me",5512
Daily Coin,1995
"Brooks Barnes, Emily Steel and Michael Cieply",1393
Sky News,8522
Thomas Kaplan and Maggie Haberman,8967
Leslie Kaufman,5431
misterdawg,9651
Ian Johnson,3627
marblenecltr,9642
Daniel Victor and Lisa Iaboni,2170
jaded,9597
susan the other,9734
Peter Sigal,7346
Nick Bernabe,6786
Cheryl Strayed,1692
Amy Chozick and Maggie Haberman,597
Russia Direct,8007
Ben Hubbard and Ceylan Yeginsu,1177
GayVet ;),3125
Maggie Haberman and Emily Steel,5817
"Alissa J. Rubin, Karam Shoumali and Eric Schmitt",529
"Elisabetta Povoledo, Gaia Pianigiani and Rukmini Callimachi",2702
Garrett Jutte,3105
Kevin Ryan,5179
"Michael D. Shear, Maggie Haberman and Alan Rappeport",6290
Lizette Alvarez and Frances Robles,5526
jadedANDcynical,9598
Will the MSM report thIs (UID 73227186),9390
Rachel L. Swarns and Darcy Eveleigh,7576
Jonathan Martin and Amy Chozick,4630
Foster Kamer,2986
Christopher Drew,1785
Choe Sang-Hun and Rick Gladstone,1700
Karen Weintraub,4966
lg,9627
Alan Feuer and William K. Rashbaum,358
Jennifer Medina and Jess Bidgood,4250
Cache Valley Prepper,1532
Edwin S. Rubenstein,2663
Anne Barnard and Ivan Nechepurenko,817
Eric Schmitt and Anne Barnard,2831
Alison Mitchell,512
Anonymous Coward (UID 63478933),869
Jonathan Rauch,4647
Eric Lichtblau and Noah Weiland,2799
Владимир В. Путин,9789
Alice Salles,506
Landon Thomas Jr. and Alexandra Stevenson,5323
"Jennifer Steinhauer, Julie Hirschfeld Davis and Mark Mazzetti",4273
Astronomy,992
Itamar Marcus,3715
"Jennifer Steinhauer, Jeremy W. Peters and Amy Chozick",4270
Francine Prose,3003
Pavel Tarasenko,7277
Eric Lipton and Noah Weiland,2815
My Catbird Seat,6555
Pete Kimberley,7289
Richard A. Oppel Jr.,7694
Adam Popescu,305
Eric Gajewski,2791
JOHNSON &amp; JOHNSON ORDERED TO PAY $72 MILLION IN ANOTHER OVARIAN CANCER CASE CAUSED BY BABY POWDER – View Point,3874
Deneen Borelli,2377
John Whitehead,4558
"Jo Becker, Steven Erlanger and Eric Schmitt",4420
Jorge Smith,4678
David McAninch,2298
Eli Rosenberg and Megan Jula,2687
Nick Huxsted,6809
Serge F. Kovaleski and Joe Coscarelli,8375
Buffalobob,1419
Gavan Fitzsimons,3119
Leeann Springer,5406
Bill Quigley,1280
Lawrence K. Altman,5397
Ciaran Mcevoy and Jess Bidgood,1812
Federico Pieraccini,2951
"Robert Pear, Jennifer Steinhauer and Thomas Kaplan",7904
"John Schwartz, Jennifer Steinhauer, Eric Lipton and Ron Nixon",4549
Ben Protess and Alexandra Stevenson,1206
Rana F. Sweis,7619
"Kareem Fahim, Marc Santora and Nicola Clark",4952
Jomo Merritt,4564
"David Montgomery, Maggie Astor and Christine Hauser",2300
Anonymous Coward (UID 73135225),886
Jamieson,4136
Understanding Misleading Food Labels: An Infographic Breaks Down Which Foods They’re Used On &amp; What They Mean – Collective Evolution - walkertecharts.com,9176
Prof. Michael Hudson,7458
Nate Schweber and Eli Rosenberg,6664
"Julie Hirschfeld Davis, Binyamin Appelbaum and Maggie Haberman",4817
Thomas B. Edsall,8947
"Scott Shane, Maggie Haberman and Julie Hirschfeld Davis",8327
Carlos Tejada,1576
Anonymous Coward (UID 67204360),871
"Ben Sisario, Alexandra Alter and Sewell Chan",1219
Krys Lee,5246
Nyla Ali Khan,6918
Isabel Kershner and Rana F. Sweis,3700
"Matthew Rosenberg, Adam Goldman and Emmarie Huetteman",6137
Colin Todhunter,1846
mod editor,9656
Jenna Wortham,4246
Eric Lipton and Jesse Drucker,2810
Kimiko de Freytas-Tamura and Elisabetta Povoledo,5214
Emily Weinstein,2754
Hwaida Saad and Nour Youssef,3578
Casey Schwartz,1612
Rachel Donadio and Jennifer Schuessler,7571
Joshua Hammer,4707
